SOURCE	TARGET
العربية	العربية	UC
في	في	UC
جامعة	جامعة	UC
الامام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الاسلامية	الإسلامية	REPLACE_OH
.	.	UC
وإن	وإن	UC
شاء	شاء	UC
الله	الله	UC
	،	INSERT_PM
أريد	أريد	UC
أن	أن	UC
التحق	ألتحق	REPLACE_OH
بكلية	بكلية	UC
أصول	أصول	UC
الدين	الدين	UC
لأجل	لأجل	UC
القيدة	العقيدة	REPLACE_OM
.	.	UC
إذ	إذ	UC
هي	هي	UC
اصول	أصول	REPLACE_OH
الدين	الدين	UC
،	،	UC
ولا	ولا	UC
يكون	يكون	UC
دين	دين	UC
الانسان	الإنسان	REPLACE_OH
كامل	كاملا	REPLACE_XC
إلا	إلا	UC
العقيدة	بالعقيدة	REPLACE_XM
الصحيحة	الصحيحة	UC
،	،	UC
لذلك	لذلك	UC
اخترت	اخترت	UC
اصول	أصول	REPLACE_OH
الدين	الدين	UC
.	.	UC
الناس	الناس	UC
في	في	UC
بلدي	بلدي	UC
يحتاجون	يحتاجون	UC
فهم	فهم	UC
الدين	الدين	UC
	،	INSERT_PM
ويخطئون	ويخطئون	UC
في	في	UC
العقيدة	العقيدة	UC
	.	INSERT_PM
هم	هم	UC
يعبدون	يعبدون	UC
الله	الله	UC
	،	INSERT_PM
ولكن	ولكن	UC
كثير	كثير	UC
منهم	منهم	UC
يميلون	يميلون	UC
إلى	إلى	UC
الشك	الشرك	REPLACE_OM
في	في	UC
عباداتهم	عباداتهم	UC
	،	INSERT_PM
وأنا	وأنا	UC
فقط	فقط	UC
طالب	طالب	UC
العلم	العلم	UC
في	في	UC
بلدي	بلدي	UC
.	.	UC
أحيانا	أحيانا	UC
	،	INSERT_PM
إذا	لما	REPLACE_SW
كنت	كنت	UC
أجادلهم	أجادلهم	UC
	،	INSERT_PM
هم	هم	UC
يأتون	يأتون	UC
بدائل	ببدائل	REPLACE_XM
	،	INSERT_PM
وليس	وليس	UC
عندي	عندي	UC
علم	علم	UC
	،	INSERT_PM
وجئت	وجئت	UC
هنا	هنا	UC
لأتعلم	لأتعلم	UC
،	.	REPLACE_PC
إذا	إذا	UC
رجعت	رجعت	UC
إلى	إلى	UC
بلدي	بلدي	UC
	،	INSERT_PM
أجادلهم	سأجادلهم	REPLACE_MT
بالتي	بالتي	UC
هي	هي	UC
احسن	أحسن	REPLACE_OH
	.	INSERT_PM
وأتمنى	وأتمنى	UC
بعد	بعد	UC
انتهائي	انتهائي	UC
في كلية	من الكلية	REPLACE_SW
	،	INSERT_PM
أريد	أريد	UC
ان	أن	REPLACE_OH
أبني	أبني	UC
المعهد	المعهد	UC
	؛	INSERT_PM
لكي	لكي	UC
يأتي	يأتي	UC
الطلاب	الطلاب	UC
يتعلمون	يتعلمون	UC
فيها	فيه	REPLACE_XG
.	.	UC

التخصص	التخصص	UC
	:	INSERT_PM
كلية	كلية	UC
أصو	أصول	REPLACE_OM
الدين	الدين	UC
	.	INSERT_PM
ارغب	أرغب	REPLACE_OH
في	في	UC
هذه	هذه	UC
الكلية	الكلية	UC
لغرض	لأغراض	REPLACE_XN
كثيرة	كثيرة	UC
،	؛	REPLACE_PC
لأن	لأن	UC
في	في	UC
بلدي	بلدي	UC
كثير	كثير	UC
من	من	UC
لناس	الناس	REPLACE_OH+REPLACE_OM
يخطئون	يخطئون	UC
في	في	UC
عبادة	عبادة	UC
الله	الله	UC
	-	INSERT_PM
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
	-	INSERT_PM
،	،	UC
لم	ولم	REPLACE_MI
يفهموا	يفهموا	UC
حقيقة	حقيقة	UC
التويد	التوحيد	REPLACE_OM
،	.	REPLACE_PC
إذا	إذا	UC
لم	لم	UC
يفهم	يفهم	UC
التوحيد	التوحيد	UC
كما	كما	UC
ينبغي	ينبغي	UC
	،	INSERT_PM
فيكف	فكيف	REPLACE_OC
تعبد	تعبد	UC
ربك	ربك	UC
،	؟	REPLACE_PC
وأشاهدت	وشاهدت	REPLACE_OD
بعض	بعض	UC
الناس	الناس	UC
هم	هم	UC
يعبدون	يعبدون	UC
الله	الله	UC
	،	INSERT_PM
وهم	وهم	UC
مشركون	مشركون	UC
،	.	REPLACE_PC
جلست	جلست	UC
	،	INSERT_PM
وفكرت	وفكرت	UC
،	.	REPLACE_PC
وبعد	وبعد	UC
ذلك	ذلك	UC
	،	INSERT_PM
عزمت	عزمت	UC
حتى	على	REPLACE_SW
الألتحق	الالتحاق	REPLACE_OH+REPLACE_OM
بكلية	بكلية	UC
	أصول	INSERT_XM
الدين	الدين	UC
	؛	INSERT_PM
لأنها	لأنها	UC
توضح	توضح	UC
لي	لي	UC
حقيقة	حقيقة	UC
التوحيد	التوحيد	UC
.	.	UC
والله	والله	UC
يقول	يقول	UC
	-	INSERT_PM
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
	-	INSERT_PM
في	في	UC
محكم	محكم	UC
تنزيله	تنزيله	UC
:	:	UC
(	"	REPLACE_PC
(		DELETE_PM
إن	إن	UC
الله	الله	UC
لا	لا	UC
يفغر	يغفر	REPLACE_OC
أن	أن	UC
يشرك	يشرك	UC
به	به	UC
ويغفر	ويغفر	UC
ما	ما	UC
دون	دون	UC
ذلك	ذلك	UC
لمن	لمن	UC
يشاء	يشاء	UC
ومن	ومن	UC
يشرك	يشرك	UC
فقد	فقد	UC
ضل	ضل	UC
ضلا	ضلالا	REPLACE_SW
بعيدا	بعيدا	UC
)	"	REPLACE_PC
)	.	REPLACE_PC
وفهمت	وفهمت	UC
في	في	UC
هذه	هذه	UC
الآية	الآية	UC
أن	أن	UC
الله	الله	UC
لا	لا	UC
يغفر	يغفر	UC
للمشرك	للمشرك	UC
.	.	UC
أنا	أنا	UC
أرى	أرى	UC
في	في	UC
بلدي	بلدي	UC
الناس	الناس	UC
يتبعون	يتبعون	UC
أصحاب	أصحاب	UC
خرافات	خرافات	UC
والهوى	والهوى	UC
،	،	UC
الذين	الذين	UC
يجعلون	يجعلون	UC
أنفسهم	أنفسهم	UC
علماء	علماء	UC
ما	مع	REPLACE_OR
أنهم	أنهم	UC
لا	لا	UC
يعرفون	يعرفون	UC
شيئا	شيئا	UC
،	.	REPLACE_PC
لذلك	لذلك	UC
	،	INSERT_PM
بعد	بعد	UC
ما	ما	UC
أنهيت	انتهيت	REPLACE_OH+REPLACE_OM
من	من	UC
الثانوية	الثانوية	UC
	،	INSERT_PM
قدمت	قدمت	UC
طلب	طلبا	REPLACE_XC
إلى	إلى	UC
جامعة	جامعة	UC
الامام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الاسلامي	الإسلامية	REPLACE_OH+REPLACE_XG
في	في	UC
الرياض	الرياض	UC
	؛	INSERT_PM
لكي	لكي	UC
الألتحاق	ألتحق	REPLACE_OD+REPLACE_XT
بكلية	بكلية	UC
	أصول	INSERT_XM
الدين	الدين	UC
،	،	UC
وسأرجع	وسأرجع	UC
إلى	إلى	UC
بلدي	بلدي	UC
	،	INSERT_PM
وأناقشهم	وأناقشهم	UC
	،	INSERT_PM
وأفهم هم	وأفهمهم	MERGE
وأتباعهم	وأتباعهم	UC
	-	INSERT_PM
بإذن	بإذن	UC
الله	الله	UC
تعالى	تعالى	UC
،	-	REPLACE_PC
	.	INSERT_PM
وكذلك	وكذلك	UC
إذا	إذا	UC
نظرنا	نظرنا	UC
إلى	إلى	UC
آخر	آخر	UC
زماننا	زماننا	UC
	،	INSERT_PM
كثيرة	كثيرة	UC
فيها	فيه	REPLACE_XG
البدع	البدع	UC
وإتباع	وأتباع	REPLACE_OH
الهوى	الهوى	UC
،	،	UC
وقريتي	وقريتي	UC
خاصة	خاصة	UC
سأرجع	سأرجع	UC
إليهم	إليهم	UC
.	.	UC

كنت	كنت	UC
جالسة	جالسة	UC
وقتا	وقتا	UC
طويلا	طويلا	UC
،	،	UC
لا	لا	UC
علامة	أستطيع	REPLACE_SW
الحركة	الحركة	UC
،	،	UC
وجاء	وجاءت	REPLACE_XG
حافلة	حافلة	UC
أخرى	أخرى	UC
،	،	UC
طلب	طلب	UC
سائق	السائق	REPLACE_XF
من	من	UC
مدير	المدير	REPLACE_XF
أن	أن	UC
نركب	نركب	UC
	،	INSERT_PM
بشرط	بشرط	UC
عن	على	REPLACE_SW
كل	كل	UC
واحد	واحد	UC
منا	منا	UC
	أن	INSERT_XM
يدفع	يدفع	UC
حمسين	خمسين	REPLACE_OR
ريالا	ريالا	UC
.	.	UC
لكن	لكن	UC
هذه	هذه	UC
الحافلة	الحافلة	UC
سائقها	سائقها	UC
المخدر	كان مخدرا	UNK
	،	INSERT_PM
حصل	فحصل	REPLACE_SF
هسومة	خصومة	REPLACE_OR
بينهم	بينهم	UC
	،	INSERT_PM
كانو	وكانوا	REPLACE_MI+REPLACE_OH+REPLACE_OM
يحربون	يتشاجرون	REPLACE_SW
مع	مع	UC
بعض	بعض	UC
.	.	UC
الحمد	الحمد	UC
لله	لله	UC
	،	INSERT_PM
وصلنا	وصلنا	UC
إلى	إلى	UC
رياض	الرياض	REPLACE_XF
على	في	REPLACE_SW
حفظ	حفظ	UC
الله	الله	UC
.	.	UC

ومن	ومن	UC
هنا	هنا	UC
	،	INSERT_PM
ذهبنا	ذهبنا	UC
إلى	إلى	UC
المسجد	المسجد	UC
الحرم	الحرام	REPLACE_OH+REPLACE_OM
أيضا	أيضا	UC
للصلاة	لصلاة	REPLACE_OD
المغرب	المغرب	UC
	،	INSERT_PM
فصلينا	فصلينا	UC
المغرب	المغرب	UC
والعشاء	والعشاء	UC
ثم	ثم	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
المسكن	المسكن	UC
لاستراحة	للاستراحة	REPLACE_OM
حتى	حتى	UC
الصباح	الصباح	UC
.	.	UC
وفي	وفي	UC
الصباح	الصباح	UC
بدأنا	بدأنا	UC
استعداد	استعدادنا	REPLACE_MI
للرجوع	للرجوع	UC
إلى	إلى	UC
الرياض	الرياض	UC
.	.	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
الجامعة	الجامعة	UC
ليلا	ليلا	UC
.	،	REPLACE_PC
وكانت	وكانت	UC
هذه	هذه	UC
الرحلة	ثاني	REPLACE_SW
مرة	مرة	UC
ثانية		DELETE_XM
أن سافرت	أسافر	UNK
	فيها	INSERT_XM
للرحلة	للرحلة	UC
	،	INSERT_PM
ولذلك	ولذلك	UC
دائما	دائما	UC
أرغب	أرغب	UC
في	في	UC
السفر	السفر	UC
	إلى	INSERT_XM
مثل	مثل	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
.	؛	REPLACE_PC
لأنه	لأن	REPLACE_XT
السفر	السفر	UC
إلى	إلى	UC
الأماكن	الأماكن	UC
المهمة	المهمة	UC
يجعل	يجعل	UC
الإنسان	الإنسان	UC
يعرف	يعرف	UC
كثيرا	كثيرا	UC
من	من	UC
المعلومات	المعلومات	UC
	،	INSERT_PM
ولا	ولا	UC
سيما	سيما	UC
عن	عن	UC
تاريخ	تاريخ	UC
الإسلام	الإسلام	UC
	،	INSERT_PM
وتعرف	وتعرف	UC
شيئا	شيئا	UC
عن	عن	UC
الحياة	الحياة	UC
الدنيا	الدنيا	UC
	،	INSERT_PM
والحواث	والأحداث	REPLACE_OM+REPLACE_OR
بعد	بعد	UC
بعثة	بعثة	UC
الرسول	الرسول	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
.	.	UC

بعد	بعد	UC
ذلك	ذلك	UC
صلينا	صلينا	UC
صلاة	صلاة	UC
الظهر	الظهر	UC
معهم	معهم	UC
	،	INSERT_PM
و كانوا	وكانوا	MERGE
إمامنا	أمامنا	REPLACE_OH
في	في	UC
الصلاة	الصلاة	UC
،	،	UC
بعد	بعد	UC
الصلاة	الصلاة	UC
ذهبوا	ذهبنا	REPLACE_MI
منا شيخ	إلى الشيخ	UNK
أبا	أبا	UC
الخيل	الخيل	UC
.	.	UC
ثم	ثم	UC
	بعد	INSERT_XM
ذالك	ذلك	REPLACE_OD
استرحنا	استرحنا	UC
	.	INSERT_PM

ثم	ثم	UC
استع		DELETE_XM
اس		DELETE_XM
استع استعدنا	استعددنا	UNK
للسفر	للسفر	UC
،	،	UC
وبع		DELETE_XM
ثم	ثم	UC
ركب		DELETE_XM
ركبنا	ركبنا	UC
السيارة	السيارة	UC
،	،	UC
وبعد	وبعد	UC
ذلك	ذلك	UC
سرنا	سرنا	UC
في	في	UC
طريقة	الطريق	REPLACE_SW
التي	التي	UC
أ		DELETE_XM
-		DELETE_PM
في		DELETE_XM
طرق		DELETE_XM
التي		DELETE_XM
سرنا	سرنا	UC
أ		DELETE_XM
-		DELETE_PM
أ		DELETE_XM
-		DELETE_PM
سرنا	فيها	REPLACE_SW
	من	INSERT_XM
قبل	قبل	UC
سرنا		DELETE_XM
في	في	UC
قب		DELETE_XM
أ		DELETE_XM
-		DELETE_PM
في		DELETE_XM
ذهابنا	ذهابنا	UC
في	إلى	REPLACE_SW
ه		DELETE_XM
أ		DELETE_XM
-		DELETE_PM
في		DELETE_XM
هذه	هذه	UC
الحديقة	الحديقة	UC
،	،	UC
وبعد	وبعد	UC
ذلك	ذلك	UC
قد		DELETE_XM
ج		DELETE_XM
بعد ساعتين	بساعتين	REPLACE_S
قد جئنا	وصلنا	UNK
أ	إلى	REPLACE_SW
-		DELETE_PM
في	في	UC
بلدنا	بلدنا	UC
،	،	UC
ثم	ثم	UC
لكل	كل	REPLACE_MI
واحد	واحد	UC
قد	قد	UC
شكر	شكر	UC
الله	الله	UC
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
على	على	UC
على		DELETE_XM
نعمتهم		DELETE_XM
ع		DELETE_XM
على		DELETE_XM
نعمته	نعمه	REPLACE_MI
عظيمة	العظيمة	REPLACE_XF
،	؛	REPLACE_PC
لأننا	لأنه	REPLACE_MI
ل		DELETE_XM
ليس	ليس	UC
هناك	هناك	UC
مشكلة	مشكلة	UC
ليس	في	REPLACE_SW
هناك		DELETE_XM
مشكلة		DELETE_XM
من		DELETE_XM
السفر	السفر	UC
،	.	REPLACE_PC
وبعد	وبعد	UC
ذلك	ذلك	UC
لكل	كل	REPLACE_MI
واحد	واحد	UC
منا	منا	UC
قد	قد	UC
رجعوا	رجع	REPLACE_XN
رجوعا		DELETE_XM
سعيدة	سعيدا	REPLACE_XG
،	،	UC
و		DELETE_XM
-		DELETE_PM
وأتمنى	وأتمنى	UC
أيها	أيها	UC
الإخوة	الإخوة	UC
أت		DELETE_XM
وأتمنى		DELETE_XM
أن	أن	UC
أرتحل	أرتحل	UC
مرة	مرة	UC
مرة		DELETE_XM
ثانية	ثانية	UC
	؛	INSERT_PM
لكي	لكي	UC
أع		DELETE_XM
أ		DELETE_XM
-		DELETE_PM
أستفيد	أستفيد	UC
منه		DELETE_XM
منها	منها	UC
؛	؛	UC
لأن	لأن	UC
الرحلة	الرحلة	UC
ل		DELETE_XM
لها	لها	UC
فوائدة	فوائد	REPLACE_OD
ك		DELETE_XM
فوائدة		DELETE_XM
كثيرة	كثيرة	UC
	،	INSERT_PM
مثل	مثل	UC
أن	أن	UC
نتفكر	نتفكر	UC
من خلوقات	في مخلوقات	REPLACE_OM+REPLACE_OR
الله	الله	UC
	،	INSERT_PM
وأن	وأن	UC
أن	أن	UC
لا	لا	UC
-		DELETE_PM
وأن		DELETE_XM
لا		DELETE_XM
ننسى	ننسى	UC
أن	أن	UC
وجودنا	وجودنا	UC
في	في	UC
هذه	هذه	UC
الدنيا	الدنيا	UC
مؤقت	مؤقت	UC
،	،	UC
كما	كما	UC
قال	قال	UC
الله	الله	UC
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
:	:	UC
"	"	UC
كل	كل	UC
من	من	UC
عليها	عليها	UC
فان	فان	UC
،	،	UC
ويبقى	ويبقى	UC
وجه	وجه	UC
ربك	ربك	UC
ذو	ذو	UC
الجلال	الجلال	UC
وال		DELETE_XM
والإكرام	والإكرام	UC
"	"	UC
،	،	UC
و		DELETE_XM
-		DELETE_PM
أ		DELETE_XM
-		DELETE_PM
آسف	آسف	UC
أو	أو	UC
عفوا	عفوا	UC
على	على	UC
	أن	INSERT_XM
كلامي	كلامي	UC
ليس	ليس	UC
واضحا	واضحا	UC
	؛	INSERT_PM
لأنني	لأنني	UC
كما	كما	UC
تعرفون	تعرفون	UC
قد	قد	UC
تكلمت		DELETE_XM
أ		DELETE_XM
-		DELETE_PM
قد	قد	UC
درست	درست	UC
لغة	اللغة	REPLACE_XF
أ		DELETE_XM
-		DELETE_PM
لغة		DELETE_XM
العربية	العربية	UC
س		DELETE_XM
أ		DELETE_XM
-		DELETE_PM
خلال	خلال	UC
س		DELETE_XM
سنة	سنة	UC
واحدة	واحدة	UC
فقط	فقط	UC
،	.	REPLACE_PC
و إلى	وإلى	MERGE
هنا	هنا	UC
	،	INSERT_PM
السلام	السلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
.	.	UC

تخصصي	تخصصي	UC
في	في	UC
المستقبل	المستقبل	UC
	.	INSERT_PM
لما	لما	UC
ننظر	ننظر	UC
إلى	إلى	UC
العالم	العالم	UC
الإسلامية	الإسلامي	REPLACE_XG
اليوم	اليوم	UC
,	،	REPLACE_PC
نرى	نرى	UC
كثيرا	كثيرا	UC
من	من	UC
المشكلات	المشكلات	UC
وقع	وقع	UC
المسلمون	المسلمون	UC
فيها	فيها	UC
,	،	REPLACE_PC
ونتساءل	ونتساءل	UC
	:	INSERT_PM
ما	ما	UC
الحل	الحل	UC
,	؟	REPLACE_PC
وماذا	وماذا	UC
نفعل	نفعل	UC
حتى	حتى	UC
نساهم	نساهم	UC
في	في	UC
إصلاح	إصلاح	UC
أمتنا	أمتنا	UC
.	؟	REPLACE_PC
منذ	منذ	UC
أن	أن	UC
بدأت	بدأت	UC
بالاتزام	بالاتزام	UC
بالدين	بالدين	UC
وتركت	وتركت	UC
الجاهلية	الجاهلية	UC
,	،	REPLACE_PC
بدأت	بدأت	UC
بالتعرف	بالتعرف	UC
على	على	UC
أحوال	أحوال	UC
المسلمين	المسلمين	UC
اليوم	اليوم	UC
وفي	وفي	UC
التاريخ	التاريخ	UC
,	،	REPLACE_PC
فعرفت	فعرفت	UC
أنا	أنا	UC
قد	قد	UC
كذبنا	كذب علينا	REPLACE_X
في	في	UC
المدارس	المدارس	UC
الابتدائة	الابتدائة	UC
والثانوية	والثانوية	UC
في	في	UC
ديار	ديار	UC
الكفر	الكفر	UC
التي	التي	UC
تبرينا	تربينا	REPLACE_OC
فيها	فيها	UC
,	،	REPLACE_PC
وأن	وأن	UC
العصور	العصور	UC
الوسطى	الوسطى	UC
لم	لم	UC
تكن	تكن	UC
عصول	عصور	REPLACE_OR
الظلام	الظلام	UC
والانتحطاط	والانحطاط	REPLACE_OD
العام	العام	UC
,	-	REPLACE_PC
كما	كما	UC
قيل	قيل	UC
لنا	لنا	UC
,	-	REPLACE_PC
بل	بل	UC
كانت	كانت	UC
عصور	عصور	UC
الازدهار	الازدهار	UC
	،	INSERT_PM
والنمو	والنمو	UC
	،	INSERT_PM
الوارتقاء	والارتقاء	REPLACE_MI+REPLACE_OD
المعنوي	المعنوي	UC
والحسي	والحسي	UC
,	،	REPLACE_PC
لكن	لكن	UC
عند	عند	UC
المسلمين	المسلمين	UC
.	.	UC
كنا	كنا	UC
ندرس	ندرس	UC
أن	أن	UC
الحضارة	الحضارة	UC
كلها	كلها	UC
كانت	كانت	UC
في	في	UC
أوربا	أوربا	UC
,	،	REPLACE_PC
ودرسنا	ودرسنا	UC
تاريخ	تاريخ	UC
الفراعنة	الفراعنة	UC
	،	INSERT_PM
واليونان	واليونان	UC
	،	INSERT_PM
والروم	والروم	UC
,	،	REPLACE_PC
ثم	ثم	UC
قفزنا	قفزنا	UC
فوق	فوق	UC
ألف	ألف	UC
عام	عام	UC
من	من	UC
تاريخ	تاريخ	UC
المسلمين	المسلمين	UC
المجيد	المجيد	UC
العظيم	العظيم	UC
,	،	REPLACE_PC
وبدأنا	وبدأنا	UC
بدراسة	بدراسة	UC
النهضة	النهضة	UC
الأوربية	الأوربية	UC
,	،	REPLACE_PC
فلذلك	فلذلك	UC
	،	INSERT_PM
معظم	معظم	UC
المسلمين	المسلمين	UC
عندني	عندنا	REPLACE_OA
لا	لا	UC
يعفرون	يعرفون	REPLACE_OC
شيئا	شيئا	UC
عن	عن	UC
تاريخهم	تاريخهم	UC
,	،	REPLACE_PC
بل	بل	UC
يستحيون	يستحيون	UC
منه	منه	UC
ويظنون	ويظنون	UC
أنا	أنا	UC
لم	لم	UC
يقدم	نقدم	REPLACE_OR
شيئا	شيئا	UC
إيجابيا	إيجابيا	UC
للعالم	للعالم	UC
,	،	REPLACE_PC
وذلك	وذلك	UC
	ما	INSERT_XM
ذكر	ذكر	UC
بابا	بابا	UC
فاتيكان	فاتيكان	UC
–	-	REPLACE_PC
بندكت	بندكت	UC
.	.	UC
لما	لما	UC
تعرفت	تعرفت	UC
على	على	UC
تاريخنا	تاريخنا	UC
العظيم	العظيم	UC
	،	INSERT_PM
وعقيدتنا	وعقيدتنا	UC
السليمة	السليمة	UC
التي	التي	UC
توافق	توافق	UC
العقل	العقل	UC
الصريح	الصريح	UC
الصحيح	الصحيح	UC
والفطرة	والفطرة	UC
السليمة	السليمة	UC
,	،	REPLACE_PC
عرفت	عرفت	UC
تفاهة	تفاهة	UC
الحضارة	الحضارة	UC
الغربي	الغربية	REPLACE_XG
المعتمدة	المعتمدة	UC
على	على	UC
تطوير	تطوير	UC
المادة	المادة	UC
المجرة	المجردة	REPLACE_OM
	،	INSERT_PM
وإشباع	وإشباع	UC
الغرائز	الغرائز	UC
الحيوانية	الحيوانية	UC
في	في	UC
الإنسان	الإنسان	UC
فقط	فقط	UC
,	،	REPLACE_PC
وعرفت	وعرفت	UC
دناءة	دناءة	UC
فلسفاتهم	فلسفاتهم	UC
الضالة	الضالة	UC
المضلة	المضلة	UC
,	،	REPLACE_PC
التي	التي	UC
لا	لا	UC
تساوي	تساوي	UC
شيئا	شيئا	UC
مقارنا	مقارنة	REPLACE_XG
بعقيدتنا	بعقيدتنا	UC
في	في	UC
وضوحها	وضوحها	UC
	،	INSERT_PM
وعمقها	وعمقها	UC
	،	INSERT_PM
سهولتها	وسهولتها	REPLACE_MI
	،	INSERT_PM
وثمراتها	وثمراتها	UC
الطيبة	الطيبة	UC
العذبة	العذبة	UC
,	،	REPLACE_PC
والذي	والذي	UC
ذاق	ذاق	UC
المر	المر	UC
واللذيذ	واللذيذ	UC
	،	INSERT_PM
اللذيذ	اللذيذ	UC
الطيب	الطيب	UC
	،	INSERT_PM
يعرف	يعرف	UC
قيمته	قيمته	UC
يقدره	ويقدره	REPLACE_MI
أكثر	أكثر	UC
من	من	UC
الذي	الذي	UC
لم	لم	UC
يذق	يذق	UC
المر	المر	UC
.	.	UC

كنت	كنت	UC
أريد	أريد	UC
أن	أن	UC
أبكر	أبكر	UC
	؛	INSERT_PM
لأن	لأني	REPLACE_XM
تنوي	أريد أن	REPLACE_S
يحصل	أصل	REPLACE_OD+REPLACE_OR
لي		DELETE_XM
إلى	إلى	UC
مكة	مكة	UC
مكرمة	مكرمة	UC
حتى	حتى	UC
في	في	UC
حلمي	حلمي	UC
.	.	UC
ثم	ثم	UC
ننتهي	انتهينا	REPLACE_MT
من	من	UC
عملنا	عملنا	UC
.	،	REPLACE_PC
ثم	ثم	UC
نستمر	استقرينا	REPLACE_MT+REPLACE_OR
في	في	UC
فندق	فندق	UC
قريب	قريب	UC
للراحة	للراحة	UC
هناك	هناك	UC
.	.	UC
وفي	وفي	UC
اليوم	اليوم	UC
التالي	التالي	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
مدينة	المدينة	REPLACE_XF
المنورة	المنورة	UC
،	،	UC
أولا	أولا	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
جبل	جبل	UC
أحد	أحد	UC
	،	INSERT_PM
وهناك	وهناك	UC
كثير	كثير	UC
من	من	UC
الناس	الناس	UC
	،	INSERT_PM
والعديد	والعديد	UC
المختلف	المختلف	UC
البائني	البائني	UC
"	"	UC
التمرات	التمرات	UC
"	"	UC
صعدنا	صعدنا	UC
إلى	إلى	UC
جبل	جبل	UC
أحد	أحد	UC
.	.	UC
ثم	ثم	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
مسجد	مسجد	UC
قباء	قباء	UC
	،	INSERT_PM
صلينا	صلينا	UC
هناك	هناك	UC
ركعتين	ركعتين	UC
	،	INSERT_PM
وبعد	وبعده	REPLACE_XM
زرنا	زرنا	UC
مسجد	مسجد	UC
المدينة	المدينة	UC
المنورة	المنورة	UC
	،	INSERT_PM
وهناك	وهناك	UC
تنتهي	تنتهي	UC
رحلتي	رحلتي	UC
.	.	UC

أرغب	أرغب	UC
وأتمنى	وأتمنى	UC
في	في	UC
مستقبل أيامي	أيام المستقبل	UNK
أن	أن	UC
أكون	أكون	UC
طبيبه	طبيبة	REPLACE_OT
إن	إن	UC
شاء	شاء	UC
الله	الله	UC
،	،	UC
وأتمنى	وأتمنى	UC
هذا	هذا	UC
التخصص	التخصص	UC
منذ	منذ	UC
صغيرتي	صغري	REPLACE_OD
،	،	UC
أحب	أحب	UC
هذا	هذا	UC
التخصص	التخصص	UC
من	من	UC
أسفل	أعماق	REPLACE_SW
قلبي	قلبي	UC
	،	INSERT_PM
وحينما	وكلما	REPLACE_OD+REPLACE_OR
رأيت	رأيت	UC
طبيبة	طبيبة	UC
أو	أو	UC
ذهبت	ذهبت	UC
إلى	إلى	UC
مستشفى	مستشفى	UC
أشعر	أشعر	UC
بالسعادة	بالسعادة	UC
والتمنى	والتمني	REPLACE_OA
،	،	UC
لدي	لدي	UC
عظم	عظم	UC
قوي	قوي	UC
لهذا	لهذا	UC
تخصص	التخصص	REPLACE_XF
	،	INSERT_PM
حيث	حيث	UC
أعمل	أستخدم	REPLACE_SW
لكل	كل	REPLACE_MI
وصيلة	وسيلة	REPLACE_OR
التي يقربني	تقربني	UNK
إليه	إليه	UC
.	.	UC
اخترت	اخترت	UC
هذا	هذا	UC
التخصص	التخصص	UC
لأن	لأن	UC
لدي	لدي	UC
قدرة	موهبة	REPLACE_SW
فيه	فيه	UC
مند	منذ	REPLACE_OR
الابتدائية	الابتدائية	UC
حيث	حيث	UC
درست	درست	UC
ما	ما	UC
يتخصص	يختص	REPLACE_OD+REPLACE_OR
به	به	UC
.	.	UC
وأيضا	وأيضا	UC
أرى	أرى	UC
في		DELETE_XM
بلدي		DELETE_XM
أن	أن	UC
هذا	هذا	UC
التخصص	التخصص	UC
منتشر	منتشر	UC
	في	INSERT_XM
	بلدي	INSERT_XM
بين	بين	UC
رجال	الرجال	REPLACE_XF
	،	INSERT_PM
الذي	مما	REPLACE_SW
يسبب	يسبب	UC
	إظهار	INSERT_XM
	عورات	INSERT_XM
أخواتنا	أخواتنا	UC
في	في	UC
الإسلام	الإسلام	UC
تظهر		DELETE_XM
عوراتهن		DELETE_XM
لهم	لهم	UC
للعلاج	للعلاج	UC
في	في	UC
حالة	حالات	REPLACE_XN
ولادة	الولادة	REPLACE_XF
وغيرها	وغيرها	UC
.	.	UC
وعندما	وعندما	UC
أفكر	أفكر	UC
في	في	UC
هذا	هذا	UC
شيء	الشيء	REPLACE_XF
أشعر	أشعر	UC
بحزن	بحزن	UC
	،	INSERT_PM
وأيضا	وأيضا	UC
يقوي	تقوى	REPLACE_MI
تمنتي على	أمنيتي	REPLACE_S
أن	أن	UC
أكون	أكون	UC
هذه	هذه	UC
طبيبة	الطبيبة	REPLACE_XF
لكي	لكي	UC
